#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.166461 0.00128816 -1.99873e-05 2.5222e-05 0
0.0768657 0.00129258 -2.00625e-05 2.61316e-05 0
0.0738519 0.098726 2.00164e-05 2.61841e-05 0
0.198542 0.0695512 4.88485e-06 2.59162e-05 0
0.198664 0.0305911 -2.06772e-05 2.56612e-05 0
0.169529 0.0986721 1.50428e-05 2.54413e-05 0.148148
0.0678771 0.00127647 -1.97621e-05 2.61834e-05 0
0.065042 0.0987585 1.98597e-05 2.62265e-05 0
0.0589265 0.0013231 -2.01281e-05 2.62276e-05 0
0.0559789 0.0986492 1.9834e-05 2.62674e-05 0
0.0493267 0.0486563 1.70382e-05 2.65e-05 0.926829
0.050799 0.0487503 1.87939e-05 2.65e-05 0.731707
0.0464458 0.0515369 1.87777e-05 2.64894e-05 0.333333
0.0405015 0.0480441 -1.79137e-05 2.64894e-05 0.315789
0.037523 0.0520676 1.93998e-05 2.64898e-05 0.263158
0.0317068 0.0474397 -1.78956e-05 2.64863e-05 0.125
0.0469995 0.00119652 -1.99488e-05 2.62767e-05 0
0.0286681 0.0528578 1.91042e-05 2.64885e-05 0.0857143
0.0439912 0.0987236 1.97041e-05 2.63143e-05 0
0.0228833 0.046822 -1.76637e-05 2.64853e-05 0
0.175446 0.00124017 -2.02525e-05 2.51387e-05 0
0.0378312 0.00124939 -1.96122e-05 2.63019e-05 0
0.0501375 0.0474249 -1.86063e-05 2.65e-05 0.447368
0.0516173 0.0475321 -1.83678e-05 2.65e-05 0.526316
0.0522651 0.0488555 1.88473e-05 2.65e-05 0.684211
0.0530993 0.0476461 -1.85484e-05 2.65e-05 0.694444
0.0537132 0.0489788 1.86765e-05 2.65e-05 0.621622
0.0545631 0.0477532 -1.8308e-05 2.65e-05 0.527778
0.0551873 0.049095 1.87612e-05 2.65e-05 0.526316
0.0560387 0.0478559 -1.94761e-05 2.65e-05 0.583333
0.0566761 0.0491965 1.90196e-05 2.65e-05 0.611111
0.0575226 0.0479561 -1.81546e-05 2.65e-05 0.666667
0.0581619 0.049297 1.83704e-05 2.65e-05 0.567568
0.0589932 0.0480617 -1.90275e-05 2.65e-05 0.805556
